Ligand,Recruiters,MasterRecruiter
03M,"L00026,L00699",L00026
07G,L00057,L00057
08A,"L00058,L00744",L00058
0EH,"L00009,L00641,L00642,L00643,L00644,L00645,L00646,L00647",L00009
0KX,"L00027,L00700",L00027
0OH,L00059,L00059
0OJ,L00060,L00060
0PL,L00061,L00061
0R2,L00062,L00062
0R3,L00063,L00063
0Y7,L00064,L00064
12O,L00065,L00065
1AQ,"L00028,L00701,L00702,L00703,L00704",L00028
1BG,"L00067,L00745",L00067
1BY,L00068,L00068
1CC,L00069,L00069
1GI,L00070,L00070
1I0,L00071,L00071
1I3,L00072,L00072
1I9,L00073,L00073
1MN,L00074,L00074
1MO,L00075,L00075
1MQ,L00076,L00076
1MT,L00077,L00077
1MY,L00078,L00078
1OY,L00079,L00079
1RH,"L00080,L00746",L00080
1RK,"L00081,L00747",L00081
1U4,L00082,L00082
1VV,L00083,L00083
1VW,L00084,L00084
1VX,L00085,L00085
1XM,L00086,L00086
1Y0,"L00087,L00748",L00087
1YH,"L00088,L00749",L00088
20Q,L00089,L00089
20U,L00090,L00090
20W,L00091,L00091
28W,"L00092,L00750",L00092
2DX,"L00093,L00751",L00093
2DY,"L00094,L00752",L00094
2FS,L00095,L00095
2PE,"L00096,L00753,L00754",L00096
2SW,L00097,L00097
2TW,L00098,L00098
2TZ,L00099,L00099
2U0,L00100,L00100
2U1,L00101,L00101
2U5,L00102,L00102
2U6,L00103,L00103
2U7,L00104,L00104
2V8,L00105,L00105
35S,L00106,L00106
35T,L00107,L00107
389,"L00108,L00755,L00756",L00108
3DR,"L00020,L00685,L00686",L00020
3FD,L00109,L00109
3JF,"L00021,L00687,L00688",L00021
3JG,L00110,L00110
3JH,L00111,L00111
3JJ,L00112,L00112
3JK,L00113,L00113
3JO,L00114,L00114
3JS,L00115,L00115
3JT,L00116,L00116
3JU,L00117,L00117
3JV,L00118,L00118
3V7,"L00119,L00757",L00119
41P,L00120,L00120
4ID,"L00125,L00758",L00125
4LZ,"L00126,L00759",L00126
4NJ,L00127,L00127
4NX,L00128,L00128
4SS,L00129,L00129
4T4,L00130,L00130
4TH,L00131,L00131
4WJ,"L00132,L00760",L00132
4WK,"L00133,L00761",L00133
4XE,"L00134,L00762",L00134
4XF,"L00135,L00763",L00135
4YC,"L00136,L00764",L00136
4YD,"L00137,L00765",L00137
4YE,"L00138,L00766",L00138
4YF,"L00139,L00767",L00139
4YL,"L00140,L00768",L00140
4YN,"L00141,L00769",L00141
4YY,L00142,L00142
516,"L00143,L00770,L00771",L00143
51M,L00144,L00144
58E,L00145,L00145
5GP,L00029,L00029
5QZ,L00146,L00146
5RB,L00147,L00147
5RQ,L00148,L00148
5UI,L00149,L00149
5UZ,L00150,L00150
5VX,L00151,L00151
5X9,L00152,L00152
6CW,"L00014,L00667,L00668,L00669",L00014
6EL,L00153,L00153
6GG,"L00030,L00705",L00030
6OG,L00154,L00154
6SJ,L00155,L00155
6SK,L00156,L00156
6SS,L00157,L00157
6ST,L00158,L00158
6Z3,L00159,L00159
6ZT,L00160,L00160
75K,L00161,L00161
7H8,"L00162,L00772",L00162
7H9,"L00031,L00706,L00707,L00708,L00709",L00031
7HC,L00163,L00163
7HT,"L00164,L00773",L00164
7HU,"L00165,L00774",L00165
7J6,"L00166,L00775",L00166
7SE,L00167,L00167
7YU,L00168,L00168
835,L00169,L00169
85C,"L00032,L00710",L00032
8OG,"L00015,L00670,L00671,L00672",L00015
8W7,"L00016,L00673,L00674,L00675",L00016
8ZL,L00170,L00170
91M,L00171,L00171
92I,L00172,L00172
997,"L00173,L00776",L00173
998,"L00174,L00777",L00174
9B5,L00175,L00175
9B8,L00176,L00176
9BH,L00177,L00177
9BK,L00178,L00178
9BN,L00179,L00179
9BT,L00180,L00180
9BW,L00181,L00181
9E7,"L00033,L00711",L00033
9FT,L00182,L00182
9IB,L00183,L00183
9JZ,"L00184,L00778",L00184
9P0,L00185,L00185
9QW,L00186,L00186
9UQ,L00187,L00187
A01,L00521,L00521
A02,L00503,L00503
A03,L00516,L00516
A04,L00517,L00517
A05,L00498,L00498
A06,L00499,L00499
A07,L00515,L00515
A08,L00512,L00512
A09,L00510,L00510
A10,L00501,L00501
A11,L00511,L00511
A12,L00502,L00502
A13,L00519,L00519
A14,L00513,L00513
A15,L00533,L00533
A16,L00528,L00528
A17,L00522,L00522
A18,L00500,L00500
A20,L00520,L00520
A21,L00527,L00527
A22,L00523,L00523
A23,L00524,L00524
A24,L00526,L00526
A25,L00531,L00531
A26,L00525,L00525
A27,L00507,L00507
A28,L00508,L00508
A29,L00529,L00529
A30,L00530,L00530
A31,L00509,L00509
A32,L00532,L00532
A33,L00504,L00504
A34,L00505,L00505
A35,L00518,L00518
A36,L00491,L00491
A37,L00492,L00492
A38,L00495,L00495
A39,L00494,L00494
A41,L00497,L00497
A42,L00534,L00534
A43,L00493,L00493
A44,L00537,L00537
A45,L00535,L00535
A46,L00536,L00536
A47,L00496,L00496
A4E,"L00188,L00779",L00188
A51,L00611,L00611
A52,L00602,L00602
A53,L00601,L00601
A54,L00606,L00606
A56,L00603,L00603
A57,L00604,L00604
A58,L00607,L00607
A59,L00608,L00608
A60,L00605,L00605
A61,L00678,L00678
A65,L00588,L00588
A66,L00004,L00004
A67,L00587,L00587
A68,L00589,L00589
A69,L00594,L00594
A70,L00593,L00593
A71,L00591,L00591
A72,L00592,L00592
A73,L00595,L00595
A74,L00596,L00596
A75,L00599,L00599
A76,L00600,L00600
A77,L00597,L00597
A78,L00598,L00598
A79,L00590,L00590
A81,L00542,L00542
A82,L00541,L00541
A83,L00545,L00545
A84,L00558,L00558
A85,L00546,L00546
A86,L00544,L00544
A87,L00539,L00539
A88,L00540,L00540
A89,L00557,L00557
A91,L00538,L00538
A92,L00548,L00548
A93,L00549,L00549
A94,L00550,L00550
A95,L00555,L00555
A96,L00547,L00547
A97,L00551,L00551
A98,L00563,L00563
A99,L00562,L00562
AD3,L00189,L00189
ADI,L00190,L00190
AGV,L00191,L00191
AO7,L00192,L00192
AQP,L00193,L00193
AU0,L00194,L00194
B00,L00553,L00553
B01,L00554,L00554
B02,L00556,L00556
B03,L00543,L00543
B04,L00559,L00559
B05,L00561,L00561
B06,L00560,L00560
B07,L00034,L00034
B08,L00712,L00712
B0A,L00195,L00195
B13,L00623,L00623
B14,L00624,L00624
B15,L00625,L00625
B16,L00626,L00626
B17,L00627,L00627
B18,L00631,L00631
B1I,L00196,L00196
B1J,L00197,L00197
B20,L00737,L00737
B21,L00738,L00738
B5K,L00198,L00198
BI6,"L00199,L00780,L00781",L00199
BIF,"L00200,L00782",L00200
BLF,L00201,L00201
BMB,"L00202,L00783,L00784",L00202
BP4,L00203,L00203
BYA,L00204,L00204
C3K,"L00205,L00785,L00786",L00205
C3T,"L00206,L00787,L00788",L00206
C5P,L00207,L00207
CCS,L00208,L00208
CO9,"L00209,L00789",L00209
CRO,L00210,L00210
CSU,L00211,L00211
D38,L00212,L00212
D5M,L00213,L00213
D8N,L00214,L00214
D97,"L00215,L00790",L00215
DCP,"L00010,L00648,L00649,L00650,L00651,L00652",L00010
DG8,"L00035,L00713",L00035
DGT,"L00018,L00679,L00680,L00681",L00018
DHC,L00216,L00216
DIZ,L00217,L00217
DTD,L00218,L00218
DTP,"L00019,L00682,L00683,L00684",L00019
DUR,L00219,L00219
DV2,L00220,L00220
DV5,L00221,L00221
DV8,L00222,L00222
DYW,L00223,L00223
E03,L00224,L00224
EDA,"L00036,L00714",L00036
EF2,"L00003,L00564,L00565,L00566,L00567,L00568,L00569,L00570,L00571,L00572,L00573,L00574,L00575,L00576,L00577,L00578,L00579,L00580,L00581,L00582,L00583,L00584,L00585,L00586",L00003
EF6,"L00022,L00689,L00690",L00022
EFG,L00226,L00226
EQ7,L00227,L00227
EXE,L00228,L00228
EXH,L00229,L00229
EYH,L00230,L00230
F06,L00231,L00231
F41,L00232,L00232
F4E,L00233,L00233
F4K,"L00037,L00715",L00037
F4U,L00234,L00234
F5N,L00235,L00235
F63,L00236,L00236
F7B,L00237,L00237
F91,L00238,L00238
FA0,L00239,L00239
FB2,L00240,L00240
FL5,L00241,L00241
FLK,L00242,L00242
FNR,L00243,L00243
FRU,L00244,L00244
FUE,"L00245,L00791",L00245
FUK,"L00246,L00792",L00246
FUU,"L00038,L00716",L00038
GCP,L00247,L00247
GFD,"L00023,L00691,L00692,L00693",L00023
GLO,L00248,L00248
GQJ,L00249,L00249
GTJ,L00250,L00250
GX4,L00251,L00251
GX8,L00252,L00252
H04,L00253,L00253
H28,L00254,L00254
HIA,L00255,L00255
HPP,L00256,L00256
HRE,"L00039,L00717",L00039
HRG,L00257,L00257
HRH,L00258,L00258
HRQ,L00259,L00259
HRT,L00260,L00260
HTZ,L00261,L00261
HU8,L00262,L00262
HUE,L00263,L00263
HXA,"L00264,L00793",L00264
I09,L00265,L00265
I18,"L00266,L00794",L00266
I29,L00267,L00267
I31,L00268,L00268
IAC,L00269,L00269
IMI,L00270,L00270
IMZ,"L00272,L00795",L00272
IQK,L00273,L00273
IUN,"L00274,L00796,L00797",L00274
IXV,L00275,L00275
IXY,L00276,L00276
IZS,"L00040,L00718",L00040
J4Q,L00277,L00277
J6H,L00278,L00278
J6K,L00279,L00279
J6N,"L00280,L00798",L00280
J6Q,L00281,L00281
J8H,L00282,L00282
JFM,L00283,L00283
JFP,L00284,L00284
JFS,L00285,L00285
JGP,L00286,L00286
JH9,"L00041,L00719",L00041
JHR,L00287,L00287
JI0,L00288,L00288
JI9,L00289,L00289
JIH,L00290,L00290
JMM,L00291,L00291
JNW,L00292,L00292
JO2,L00293,L00293
JO5,L00294,L00294
JO8,L00295,L00295
JOB,L00296,L00296
JOE,L00297,L00297
JOH,L00298,L00298
JOK,L00299,L00299
JON,L00300,L00300
JOQ,L00301,L00301
JOT,L00302,L00302
JOW,L00303,L00303
