RECRUITER_CODE,MasterRecruiter,Ligand
L00026,L00026,03M
L00699,L00026,03M
L00057,L00057,07G
L00058,L00058,08A
L00744,L00058,08A
L00009,L00009,0EH
L00641,L00009,0EH
L00642,L00009,0EH
L00643,L00009,0EH
L00644,L00009,0EH
L00645,L00009,0EH
L00646,L00009,0EH
L00647,L00009,0EH
L00027,L00027,0KX
L00700,L00027,0KX
L00059,L00059,0OH
L00060,L00060,0OJ
L00061,L00061,0PL
L00062,L00062,0R2
L00063,L00063,0R3
L00064,L00064,0Y7
L00065,L00065,12O
L00028,L00028,1AQ
L00701,L00028,1AQ
L00702,L00028,1AQ
L00703,L00028,1AQ
L00704,L00028,1AQ
L00067,L00067,1BG
L00745,L00067,1BG
L00068,L00068,1BY
L00069,L00069,1CC
L00070,L00070,1GI
L00071,L00071,1I0
L00072,L00072,1I3
L00073,L00073,1I9
L00074,L00074,1MN
L00075,L00075,1MO
L00076,L00076,1MQ
L00077,L00077,1MT
L00078,L00078,1MY
L00079,L00079,1OY
L00080,L00080,1RH
L00746,L00080,1RH
L00081,L00081,1RK
L00747,L00081,1RK
L00082,L00082,1U4
L00083,L00083,1VV
L00084,L00084,1VW
L00085,L00085,1VX
L00086,L00086,1XM
L00087,L00087,1Y0
L00748,L00087,1Y0
L00088,L00088,1YH
L00749,L00088,1YH
L00089,L00089,20Q
L00090,L00090,20U
L00091,L00091,20W
L00092,L00092,28W
L00750,L00092,28W
L00093,L00093,2DX
L00751,L00093,2DX
L00094,L00094,2DY
L00752,L00094,2DY
L00095,L00095,2FS
L00096,L00096,2PE
L00753,L00096,2PE
L00754,L00096,2PE
L00097,L00097,2SW
L00098,L00098,2TW
L00099,L00099,2TZ
L00100,L00100,2U0
L00101,L00101,2U1
L00102,L00102,2U5
L00103,L00103,2U6
L00104,L00104,2U7
L00105,L00105,2V8
L00106,L00106,35S
L00107,L00107,35T
L00108,L00108,389
L00755,L00108,389
L00756,L00108,389
L00685,L00020,3DR
L00686,L00020,3DR
L00109,L00109,3FD
L00021,L00021,3JF
L00687,L00021,3JF
L00688,L00021,3JF
L00110,L00110,3JG
L00111,L00111,3JH
L00112,L00112,3JJ
L00113,L00113,3JK
L00114,L00114,3JO
L00115,L00115,3JS
L00116,L00116,3JT
L00117,L00117,3JU
L00118,L00118,3JV
L00119,L00119,3V7
L00757,L00119,3V7
L00120,L00120,41P
L00125,L00125,4ID
L00758,L00125,4ID
L00759,L00126,4LZ
L00127,L00127,4NJ
L00128,L00128,4NX
L00129,L00129,4SS
L00130,L00130,4T4
L00131,L00131,4TH
L00132,L00132,4WJ
L00760,L00132,4WJ
L00133,L00133,4WK
L00761,L00133,4WK
L00134,L00134,4XE
L00762,L00134,4XE
L00135,L00135,4XF
L00763,L00135,4XF
L00136,L00136,4YC
L00764,L00136,4YC
L00137,L00137,4YD
L00765,L00137,4YD
L00138,L00138,4YE
L00766,L00138,4YE
L00139,L00139,4YF
L00767,L00139,4YF
L00140,L00140,4YL
L00768,L00140,4YL
L00141,L00141,4YN
L00769,L00141,4YN
L00142,L00142,4YY
L00143,L00143,516
L00770,L00143,516
L00771,L00143,516
L00144,L00144,51M
L00145,L00145,58E
